N_CHEQUE;BENEFICIARIO;CUIT;FECHA_EMISION;FECHA_VENCIMIENTO;IMPORTE;ESTADO;MATCH_PLANILLA;OP_NUMERO;MODO_IMPUTACION;A_VENCER;MES_VENC;IMP_OSPEVIC;IMP_OSPIF;IMP_OSPLYFC;IMP_OSSURRBAC;IMP_OSPM;IMP_SIN_ASIGNACION
00000150;SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIA;30545894528;11/12/2025;30/04/2026;21693605,78;Rechazado con acuerdo;SI;;ESTRICTO;SI;2026-04;13370360,153760139;8314948,616217121;8297,010022742954;0,0;0,0;0,0
00000158;SERVICIOS MEDICOS SRL;30645189988;15/12/2025;30/04/2026;14151024,28;Pagado;SI;;ESTRICTO;NO;2026-04;13634514,36356943;273889,8871986541;0,0;242620,0292319165;0,0;0,0
00000162;CLINICA PRIVADA CARAFFA SRL;30596272165;15/12/2025;30/04/2026;1241476,67;Aceptado;SI;;ESTRICTO;SI;2026-04;1167461,2757592378;74015,3942407622;0,0;0,0;0,0;0,0
00000201;COSEME SA;30680565224;17/12/2025;30/04/2026;1674938,14;Pagado;SI;;ESTRICTO;NO;2026-04;736865,4981545613;935400,6433829406;0,0;2671,9984624981253;0,0;0,0
00000222;GPAL BIOQUIMICA CLINICA SAS;30716142015;17/12/2025;30/04/2026;2110940,35;Pagado;SI;;ESTRICTO;NO;2026-04;293179,54023859755;929556,7442343265;573695,5421423232;314508,5233847528;0,0;0,0
00000234;PROMET S.R.L.;30708276878;17/12/2025;30/04/2026;4025624,21;Pagado;SI;;ESTRICTO;NO;2026-04;2274510,266151424;0,0;1516456,6675327942;234657,27631578187;0,0;0,0
00000236;PROMET S.R.L.;30708276878;17/12/2025;30/06/2026;4025624,21;Emitido;SI;;ESTRICTO;SI;2026-06;2274510,266151424;0,0;1516456,6675327942;234657,27631578187;0,0;0,0
00000237;PROMET S.R.L.;30708276878;17/12/2025;31/07/2026;4025624,21;Emitido;SI;;ESTRICTO;SI;2026-07;2274510,266151424;0,0;1516456,6675327942;234657,27631578187;0,0;0,0
00000235;PROMET S.R.L.;30708276878;17/12/2025;31/05/2026;4025624,21;Aceptado;SI;;ESTRICTO;SI;2026-05;2274510,266151424;0,0;1516456,6675327942;234657,27631578187;0,0;0,0
00000250;SOLBO SAS;30716784386;17/12/2025;30/04/2026;1387965,59;Pagado;SI;;ESTRICTO;NO;2026-04;831458,4696452324;500019,9597601491;29347,608381165475;6287,757037752901;20851,795175700052;0,0
00000172;AMPARAR S.R.L.;30708686499;17/12/2025;30/04/2026;4142678,24;Pagado;SI;;ESTRICTO;NO;2026-04;1254874,074309583;2130169,452211966;533645,9057581687;223988,8077202828;0,0;0,0
00000269;CIPREM S.R.L.;30637580961;06/01/2026;30/04/2026;10963537,46;Rechazado con acuerdo;SI;;ESTRICTO;SI;2026-04;10040878,487946095;0,0;922658,9720539051;0,0;0,0;0,0
00000273;ASOC PRESTADORES DE HEMODIALISIS Y TRANS;30644610256;08/01/2026;30/04/2026;10878556,83;Pagado;SI;;ESTRICTO;NO;2026-04;8379313,251937622;2499243,5780623783;0,0;0,0;0,0;0,0
00000343;GMRS S.A;30710954247;23/01/2026;30/04/2026;795000,0;Aceptado;NO;;FUERA;SI;2026-04;0,0;0,0;0,0;0,0;0,0;795000,0
00000317;ASOCIACION PRESTADORES DE HEMODIALISIS Y;30644610256;23/01/2026;30/04/2026;6821762,0;Pagado;SI;;ESTRICTO;NO;2026-04;5254527,932466985;1567234,0675330155;0,0;0,0;0,0;0,0
