fecha;saldo_cierre;ingresos_dia;egresos_dia;n_eventos
2026-05-20;43892693,52;0;1507306,48;2
2026-05-21;43892693,52;0;0,0;0
2026-05-22;43892693,52;0;0,0;0
2026-05-23;43892693,52;0;0,0;0
2026-05-24;43892693,52;0;0,0;0
2026-05-25;29604957,720000003;0;14287735,8;2
2026-05-26;29604957,720000003;0;0,0;0
2026-05-27;29604957,720000003;0;0,0;0
2026-05-28;29604957,720000003;0;0,0;0
2026-05-29;29604957,720000003;0;0,0;0
2026-05-30;29604957,720000003;0;0,0;0
2026-05-31;-204779103,17;0;234384060,89;74
2026-06-01;-204779103,17;0;0,0;0
2026-06-02;-204779103,17;0;0,0;0
2026-06-03;-204779103,17;0;0,0;0
2026-06-04;-204779103,17;0;0,0;0
2026-06-05;-204779103,17;0;0,0;0
2026-06-06;-204779103,17;0;0,0;0
2026-06-07;-205852363,07999998;0;1073259,91;1
2026-06-08;-205852363,07999998;0;0,0;0
2026-06-09;-205852363,07999998;0;0,0;0
2026-06-10;-237049164,70999998;0;31196801,63;1
2026-06-11;-237049164,70999998;0;0,0;0
2026-06-12;-237049164,70999998;0;0,0;0
2026-06-13;-237049164,70999998;0;0,0;0
2026-06-14;-238285569,42;0;1236404,71;1
2026-06-15;-238285569,42;0;0,0;0
2026-06-16;-238285569,42;0;0,0;0
2026-06-17;-238285569,42;0;0,0;0
2026-06-18;-238285569,42;0;0,0;0
2026-06-19;-238285569,42;0;0,0;0
