OP_NUMERO;CUIT;PRESTADOR;NRO_DOC;TIPO;REGIMEN;NRO_CERT;MONTO
1-8257;30708686499;AMPARAR S.R.L;8736500;GA;Locación de obras y servicios;156;126872,69
1-8263;30715649159;CAMARA DE ENTIDADES DE SALUD - CES;8737231;GA;Locación de obras y servicios;158;416802,3
1-8264;30714353493;CEMO S.A.;8737307;GA;Locación de obras y servicios;159;1935,9
1-8267;30715190253;CIDI S.A;8737786;GA;Locación de obras y servicios;161;9323,85
1-8271;30645574326;CLINICA PRIVADA DE ESPECIALIDADES DE;8737903;GA;Locación de obras y servicios;162;53260,19
1-8273;30682285431;CLINICA PRIVADA COAT S. R. L.;8752561;GA;Locación de obras y servicios;163;4014,4
1-8274;30660567840;CLINICA PRIVADA DE LA CIUDAD SOC RESP;8752601;GA;Locación de obras y servicios;164;11473,44
1-8276;30608875227;CLINICA PRIVADA INTEGRAL DE PSIQUIATRIA;8752660;GA;Locación de obras y servicios;165;84125,1
1-8277;30546133865;CLINICA PRIVADA JESUS MARIA DR ANIBAL;8752675;GA;Locación de obras y servicios;166;6021,25
1-8285;30680565224;COSEME SA;8752817;GA;Locación de obras y servicios;167;4512,79
1-8286;30623442566;DE LA VILLA SERVICIOS ASISTENCIALES S.A.;8752834;GA;Locación de obras y servicios;168;29578,68
1-8293;30716142015;GPAL BIOQUIMICA CLINICA S.A.S.;8752961;GA;Locación de obras y servicios;169;36735,4
1-8294;30709290866;GRUPO OPTICO SA;8752982;GA;Locación de obras y servicios;170;3697,08
1-8295;30659560093;INSTITUTO PRIVADO DE NEONATOLOGIA Y;8752998;GA;Locación de obras y servicios;171;21303,16
1-8296;30606141579;INSTITUTO PRIVADO DE RADIOTERAPIA S A;8753017;GA;Locación de obras y servicios;172;85176,6
1-8301;30708276878;PROMET S.R.L.;8753582;GA;Locación de obras y servicios;173;108712,62
1-8302;30694300487;RESONANCIA MAGNETICA SRL;8753725;GA;Locación de obras y servicios;174;9348,68
1-8304;30709956880;SAN FRANCISCO SALUD-CONSORCIO DE;8754128;GA;Locación de obras y servicios;175;300040,7
1-8305;30545879138;SANATORIO MORRA S A;8754279;GA;Locación de obras y servicios;176;14675,75
1-8306;30715227696;;8754287;GA;Locación de obras y servicios;177;5921,4
1-8307;30716784386;SOLBO S.A.S.;8754312;GA;Locación de obras y servicios;178;15678,3
1-8308;30711999074;UNIDAD DIGESTIVA BAISTROCCHI S.R.L.;8754323;GA;Locación de obras y servicios;179;14830,2
1-8313;30615571454;CLINICA PRIVADA DEL SOL S.A.;8756074;GA;Locación de obras y servicios;180;6107,23
1-8314;30580553040;POLICLINICO PRIVADO SAN LUCAS S A;8756833;GA;Locación de obras y servicios;181;4929,36
1-8315;30689767946;SANATORIO DEL SALVADOR PRIVADO SA;8756878;GA;Locación de obras y servicios;182;87129,16
1-8125;30708686499;AMPARAR S.R.L;8639120;GA;Locación de obras y servicios;124;73802,96
1-7984;30708686499;AMPARAR S.R.L;8518980;GA;Locación de obras y servicios;77;157791,94
1-7987;30709634964;BARIATRICA S.A.;8519242;GA;Locación de obras y servicios;78;2576,73
1-7988;30715649159;CAMARA DE ENTIDADES DE SALUD - CES;8519400;GA;Locación de obras y servicios;79;239884,64
1-7989;30714353493;CEMO S.A.;8521212;GA;Locación de obras y servicios;80;36874,17
1-7990;30715347756;CENTRO MEDICO PRIVADO SAN ANDRES SRL;8521230;GA;Locación de obras y servicios;81;5135,64
1-7991;30715316338;CENTRO MEDICO ROENTGEN S.R.L.;8521242;GA;Locación de obras y servicios;82;1758,24
1-7992;30574596951;CENTRO PRIVADO TOMOGRAFIA COMPUTADA;8521257;GA;Locación de obras y servicios;83;14493,9
1-7993;30715190253;CIDI S.A;8521295;GA;Locación de obras y servicios;84;13901,25
