archivo;motivo
OP 8054_REUNION BCO SUPERVIELLE.pdf;OP de gastos generales (filename)
OP 8058_INSUMOS GRIFF.pdf;OP de gastos generales (filename)
OP 8059_HONORARIOS DANIEL MENDEZ.pdf;OP de gastos generales (filename)
OP 8060_02-2026-AGUA GRIFF.pdf;OP de gastos generales (filename)
OP 8062_TAXI PAGO A OSPIF.pdf;OP de gastos generales (filename)
OP 8065_03-2026-ALQUILER RUSSO.pdf;OP de gastos generales (filename)
OP 8071_REINTEGRO-BRAMAJO FRANCO.pdf;OP de gastos generales (filename)
OP 8072_REINTEGRO PASAJES- ARRO MACARENA.pdf;OP de gastos generales (filename)
OP 8073_REINTEGRO- FLORENCIA ODELLO.pdf;OP de gastos generales (filename)
OP 8078_otropagos02-2026-EXPENSAS-COLON 350.pdf;OP de gastos generales (filename)
OP 8081_REINTEGROS- FORMINI JUAN Y FORMINI PAULA.pdf;OP de gastos generales (filename)
OP 8094_TAXI- ENVIO DE PAGO A  OSPIF Y DOCU A MEDICA.pdf;OP de gastos generales (filename)
OP 8101_02-2026-EXPENSAS-27 DE ABRIL.pdf;OP de gastos generales (filename)
OP 8102_REINTEGRO GIMENEZ LUCAS.pdf;OP de gastos generales (filename)
OP 8104_REINTEGRO JORGE EDUARDO CORT.pdf;OP de gastos generales (filename)
OP 8105_REINTEGRO FRANCO DAVID LOPEZ.pdf;OP de gastos generales (filename)
OP 8110_REINTEGRO MIGUEL SANDRA.pdf;OP de gastos generales (filename)
OP 8111_REINTEGRO NERIO OMAR.pdf;OP de gastos generales (filename)
OP 8113_REINTEGRO MEDINA EMMA.pdf;OP de gastos generales (filename)
OP 8124_COMPRA DE INSUMOS GRIFF.pdf;OP de gastos generales (filename)
OP 8228_TAXI- ENVIO DE PAGO A OSPIF.pdf;OP de gastos generales (filename)
OP 8232_REINTEGRO ROBERTO ABEL SOSA.pdf;OP de gastos generales (filename)
OP 8233_REINTEGRO OLIVERA GABRIEL.pdf;OP de gastos generales (filename)
OP 8234_REINTEGRO BOCCARDO BENJAMIN.pdf;OP de gastos generales (filename)
